review,label
"I absolutely love this phone! The battery lasts all day and the camera is incredible.",real
"This product is amazing, I highly recommend it to everyone!",fake
"The sound quality of these headphones is crystal clear and the bass is deep.",real
"Best purchase ever! You must buy this, it's so great and fantastic.",fake
"Delivery was on time and packaging was neat. Product matches the description.",real
"This is the worst product ever made. Completely useless.",real
"Superb build quality and performance, worth every rupee.",real
"I got this item for free and it’s the best thing ever, I can’t believe how perfect it is!",fake
"Customer service was very helpful when I had an issue with my order.",real
"I’ve used this for a week now and it works flawlessly. Happy with my purchase.",real
"This changed my life! Everyone should get one right now!",fake
"Terrible experience, the product broke after two days of use.",real
"The packaging was damaged but the product inside was fine.",real
"This is the most awesome and fantastic thing in the world!",fake
"The material feels premium and durable. I’m satisfied.",real
"Received a defective product. Very disappointed.",real
"Amazing quality and so cheap, unbelievable deal!",fake
"Exactly as described, met my expectations.",real
"Complete waste of money. Do not buy.",real
"Works perfectly as advertised. Would recommend to others.",real
"Fantastic quality, 10/10, I will order again tomorrow!",fake
"The app crashes frequently. Needs improvement.",real
"Affordable, reliable, and easy to use.",real
"I can’t stop telling my friends how awesome this is!",fake
"Product stopped working after one week, not worth it.",real
"Great customer support and fast delivery!",real
"This is the best invention in the history of products!",fake
"The fit is perfect, and fabric feels soft. Loved it.",real
"The product is fine, but shipping took too long.",real
"Unbelievable! Totally changed my daily routine!",fake
"The phone is fast, smooth, and performs well under load.",real
"Received wrong item but was quickly replaced. Good service.",real
"Everyone must try this, it’s beyond amazing!",fake
"The quality matches the price. Decent deal.",real
"Lightweight and comfortable to wear all day.",real
"I can’t believe how good this product is! Wow!",fake
"The laptop runs quietly and doesn’t overheat. Perfect for work.",real
"Terrible, didn’t meet expectations at all.",real
"This is a revolutionary product that everyone needs!",fake
"Installation was simple and quick. No complaints.",real
"Packaging was great and product worked instantly.",real
"This changed my life! I’ll never use anything else again!",fake
"Good value for money. Performs as expected.",real
"Fake product, do not trust these sellers.",real
"Excellent quality and very affordable.",real
"I’ve never seen anything so perfect before!",fake
"The mouse is ergonomic and battery lasts long.",real
"Good purchase overall, satisfied.",real
